	Lettre1	Bloc	Paires	OrdreAlea	Lettre2	n	rating.response_mean	rating.response_raw	rating.response_std	rating.rt_mean	rating.rt_raw	rating.rt_std	order	numPs
5565	z	6	z u	0.850224072	u	1	0.07	0.07	0	1.103000045	1.103000045	0	6	G
5575	t	6	t s	0.136049464	s	1	0.039999999	0.039999999	0	3.552000046	3.552000046	0	7	G
5585	y	6	y t	0.857404273	t	1	0.519999981	0.519999981	0	2.38499999	2.38499999	0	8	G
5595	r	6	r j	0.265307231	j	1	0.170000002	0.170000002	0	1.621000052	1.621000051	0	9	G
5605	a	6	a h	0.639159733	h	1	0.050000001	0.050000001	0	1.603000045	1.603000045	0	10	G
5615	p	6	p p	0.545934884	p	1	0.970000029	0.970000029	0	1.485999942	1.485999942	0	11	G
5625	o	6	o i	0.340150557	i	1	0.189999998	0.189999998	0	3.984999895	3.984999895	0	12	G
5635	x	6	x i	0.48604649	i	1	0.639999986	0.639999986	0	1.753000021	1.753000021	0	13	G
5645	l	6	l a	0.239941338	a	1	0.050000001	0.050000001	0	3.701999903	3.701999903	0	14	G
5655	f	6	f n	0.287507528	n	1	0.150000006	0.150000006	0	1.851999998	1.851999998	0	15	G
5665	x	6	x f	0.320484574	f	1	0.059999999	0.059999999	0	1.503000021	1.503000021	0	16	G
5675	l	6	l p	0.95788027	p	1	0.059999999	0.059999999	0	0.635999978	0.635999978	0	17	G
5685	n	6	n c	0.740329347	c	1	0.300000012	0.300000012	0	1.636000037	1.636000037	0	18	G
5695	b	6	b x	0.95017628	x	1	0.029999999	0.029999999	0	1.851999998	1.851999998	0	19	G
5705	a	6	a z	0.31064043	z	1	0.090000004	0.090000004	0	2.835999966	2.835999966	0	20	G
5715	t	6	t w	0.136740769	w	1	0.029999999	0.029999999	0	2.604000092	2.604000092	0	21	G
5725	i	6	i m	0.923343178	m	1	0.050000001	0.050000001	0	1.103000045	1.103000045	0	22	G
5735	c	6	c j	0.205305659	j	1	0.439999998	0.439999998	0	2.453000069	2.453000069	0	23	G
5745	g	6	g x	0.780942736	x	1	0.029999999	0.029999999	0	2.069000006	2.069000006	0	24	G
5755	k	6	k z	0.980176585	z	1	0.039999999	0.039999999	0	1.552999973	1.552999973	0	25	G
5765	n	6	n p	0.74098285	p	1	0.360000014	0.360000014	0	2.053999901	2.053999901	0	26	G
5775	w	6	w t	0.119860096	t	1	0.059999999	0.059999999	0	1.671000004	1.671000004	0	27	G
5785	z	6	z q	0.391988243	q	1	0.159999996	0.159999996	0	2.135999918	2.135999918	0	28	G
5795	d	6	d v	0.051403987	v	1	0.050000001	0.050000001	0	1.570000052	1.570000052	0	29	G
5805	s	6	s x	0.406592055	x	1	0.050000001	0.050000001	0	1.003000021	1.003000021	0	30	G
5815	u	6	u e	0.858907097	e	1	0.050000001	0.050000001	0	0.718999982	0.718999982	0	31	G
5825	v	6	v a	0.638813196	a	1	0.050000001	0.050000001	0	1.085999966	1.085999966	0	32	G
5835	q	6	q m	0.481953905	m	1	0.319999993	0.319999993	0	1.902999997	1.902999997	0	33	G
